TS_1.csv,.csv,MARQNET\6989thompsz (Thompson, Zach),12/3/2021 9:04:03 AM,SPECTRONIC 200,- - -,- - -
nm,A
400,0.916139
400.5,0.922996
401,0.927383
401.5,0.931443
402,0.936667
402.5,0.93968
403,0.948076
403.5,0.952336
404,0.956638
404.5,0.959002
405,0.96457
405.5,0.967381
406,0.968592
406.5,0.970211
407,0.971836
407.5,0.975104
408,0.977572
408.5,0.978811
409,0.979639
409.5,0.980053
410,0.981716
410.5,0.984221
411,0.9859
411.5,0.98632
412,0.986741
412.5,0.98632
413,0.985479
413.5,0.9859
414,0.9859
414.5,0.98632
415,0.985479
415.5,0.983803
416,0.983384
416.5,0.982549
417,0.980468
417.5,0.979225
418,0.979639
418.5,0.979225
419,0.975514
419.5,0.973467
420,0.971022
420.5,0.968996
421,0.966576
421.5,0.96457
422,0.962972
422.5,0.959793
423,0.957031
423.5,0.954677
424,0.952336
424.5,0.948847
425,0.948076
425.5,0.946154
426,0.945387
426.5,0.942714
427,0.941954
427.5,0.941195
428,0.940815
428.5,0.940058
429,0.937418
429.5,0.935542
430,0.934794
430.5,0.933301
431,0.933301
431.5,0.929224
432,0.927015
432.5,0.926648
433,0.924818
433.5,0.924818
434,0.924818
434.5,0.924088
435,0.922996
435.5,0.920457
436,0.919374
436.5,0.918293
437,0.918293
437.5,0.917574
438,0.917215
438.5,0.914353
439,0.913284
439.5,0.912574
440,0.911864
440.5,0.909742
441,0.908333
441.5,0.907279
442,0.907279
442.5,0.906228
443,0.905878
443.5,0.904482
444,0.903438
444.5,0.90309
445,0.901702
445.5,0.899629
446,0.897909
446.5,0.896196
447,0.89449
447.5,0.894149
448,0.893129
448.5,0.891773
449,0.890421
449.5,0.888401
450,0.88773
450.5,0.886057
451,0.884057
451.5,0.882397
452,0.880744
452.5,0.876148
453,0.873869
453.5,0.871278
454,0.869666
454.5,0.8671
455,0.864549
455.5,0.862963
456,0.861066
456.5,0.859492
457,0.856361
457.5,0.855115
458,0.852633
458.5,0.851706
459,0.849551
459.5,0.84863
460,0.845576
460.5,0.843754
461,0.841638
461.5,0.840132
462,0.838932
462.5,0.837734
463,0.836242
463.5,0.834162
464,0.832387
464.5,0.83062
465,0.830326
465.5,0.828566
466,0.827397
466.5,0.825649
467,0.824778
467.5,0.825359
468,0.823909
468.5,0.822464
469,0.820161
469.5,0.819301
470,0.817871
470.5,0.817015
471,0.815593
471.5,0.814458
472,0.813044
472.5,0.813044
473,0.811916
473.5,0.81051
474,0.805763
474.5,0.804377
475,0.8041
475.5,0.803271
476,0.801068
476.5,0.79915
477,0.796967
477.5,0.796152
478,0.794254
478.5,0.792366
479,0.789949
479.5,0.788612
480,0.786748
480.5,0.785686
481,0.782253
481.5,0.779369
482,0.777024
482.5,0.775726
483,0.774949
483.5,0.773142
484,0.770574
484.5,0.767512
485,0.764977
485.5,0.762456
486,0.760701
486.5,0.759201
487,0.757956
487.5,0.755475
488,0.751781
488.5,0.749824
489,0.748849
489.5,0.746662
490,0.744727
490.5,0.743042
491,0.741363
491.5,0.740406
492,0.738499
492.5,0.736601
493,0.734946
493.5,0.732594
494,0.731422
494.5,0.729787
495,0.72723
495.5,0.725842
496,0.724228
496.5,0.72262
497,0.720789
497.5,0.718739
498,0.716925
498.5,0.715118
499,0.713544
499.5,0.711751
500,0.70952
500.5,0.707744
501,0.705754
501.5,0.704213
502,0.702021
502.5,0.698536
503,0.69702
503.5,0.695509
504,0.693789
504.5,0.692076
505,0.69037
505.5,0.688246
506,0.686344
506.5,0.682982
507,0.680062
507.5,0.676954
508,0.675512
508.5,0.673459
509,0.671213
509.5,0.666553
510,0.665345
510.5,0.662341
511,0.659754
511.5,0.656198
512,0.653843
512.5,0.651695
513,0.648784
513.5,0.645892
514,0.643401
514.5,0.641114
515,0.63865
515.5,0.636012
516,0.633204
516.5,0.628009
517,0.625435
517.5,0.623058
518,0.620876
518.5,0.618524
519,0.616185
519.5,0.613501
520,0.611189
520.5,0.608359
521,0.605723
521.5,0.603801
522,0.601539
522.5,0.598944
523,0.595508
523.5,0.589729
524,0.587036
524.5,0.584192
525,0.581865
525.5,0.579384
526,0.576754
526.5,0.574303
527,0.571541
527.5,0.56928
528,0.56623
528.5,0.562884
529,0.560194
529.5,0.557207
530,0.554863
530.5,0.548214
531,0.545003
531.5,0.542118
532,0.538952
532.5,0.53566
533,0.5318
533.5,0.529002
534,0.525929
534.5,0.523168
535,0.520137
535.5,0.51627
536,0.512579
536.5,0.508358
537,0.504872
537.5,0.496891
538,0.492819
538.5,0.489053
539,0.485585
539.5,0.482672
540,0.478731
540.5,0.474566
541,0.470441
541.5,0.466864
542,0.463063
542.5,0.458421
543,0.454445
543.5,0.449405
544,0.444785
544.5,0.435334
545,0.431329
545.5,0.426896
546,0.422968
546.5,0.418392
547,0.414314
547.5,0.410162
548,0.40616
548.5,0.401428
549,0.397289
549.5,0.392867
550,0.389021
550.5,0.384892
551,0.380385
551.5,0.376027
552,0.36734
552.5,0.363111
553,0.359519
553.5,0.355561
554,0.352519
554.5,0.348431
555,0.344381
555.5,0.340274
556,0.337337
556.5,0.334325
557,0.331241
557.5,0.32781
558,0.325598
558.5,0.322849
559,0.317314
559.5,0.314437
560,0.312204
560.5,0.309538
561,0.307329
561.5,0.305395
562,0.303382
562.5,0.302161
563,0.300076
563.5,0.299729
564,0.298691
564.5,0.298518
565,0.297397
565.5,0.296021
566,0.294478
566.5,0.29388
567,0.29388
567.5,0.293538
568,0.293709
568.5,0.293709
569,0.294222
569.5,0.294478
570,0.295078
570.5,0.295163
571,0.295849
571.5,0.296451
572,0.297483
572.5,0.298432
573,0.300596
573.5,0.302161
574,0.30312
574.5,0.304431
575,0.305044
575.5,0.305922
576,0.306977
576.5,0.30883
577,0.310602
577.5,0.311758
578,0.313542
578.5,0.315065
579,0.317314
579.5,0.318849
580,0.321937
580.5,0.323581
581,0.325966
581.5,0.327902
582,0.329476
582.5,0.330683
583,0.331894
583.5,0.333388
584,0.33564
584.5,0.338093
585,0.340369
585.5,0.341798
586,0.343423
586.5,0.34515
587,0.349887
587.5,0.352031
588,0.353694
588.5,0.355857
589,0.358427
589.5,0.361112
590,0.363312
590.5,0.365523
591,0.368151
591.5,0.370998
592,0.374379
592.5,0.377165
593,0.380802
593.5,0.38384
594,0.390726
594.5,0.394264
595,0.39794
595.5,0.402086
596,0.406603
596.5,0.411168
597,0.415556
597.5,0.420102
598,0.424812
598.5,0.42934
599,0.433916
599.5,0.438779
600,0.44406
600.5,0.450016
601,0.45556
601.5,0.467373
602,0.473273
602.5,0.480041
603,0.486649
603.5,0.494307
604,0.501552
604.5,0.508778
605,0.515843
605.5,0.523748
606,0.531505
606.5,0.539854
607,0.548521
607.5,0.557207
608,0.56655
608.5,0.585194
609,0.594312
609.5,0.603801
610,0.613323
610.5,0.622694
611,0.631899
611.5,0.642065
612,0.65267
612.5,0.66314
613,0.673459
613.5,0.68382
614,0.694864
614.5,0.705534
615,0.716247
615.5,0.737549
616,0.749336
616.5,0.760951
617,0.772113
617.5,0.782779
618,0.793444
618.5,0.804377
619,0.815025
619.5,0.825649
620,0.83654
620.5,0.845576
621,0.855737
621.5,0.864867
622,0.873544
622.5,0.891773
623,0.901702
623.5,0.910448
624,0.917933
624.5,0.924453
625,0.930702
625.5,0.936291
626,0.943476
626.5,0.94962
627,0.954286
627.5,0.958607
628,0.962175
628.5,0.965372
629,0.965773
629.5,0.966979
630,0.966979
630.5,0.965773
631,0.964971
631.5,0.962972
632,0.959002
632.5,0.954286
633,0.94962
633.5,0.944622
634,0.938171
634.5,0.931443
635,0.923724
635.5,0.915781
636,0.906929
636.5,0.885389
637,0.872571
637.5,0.861382
638,0.850473
638.5,0.838333
639,0.824778
639.5,0.810229
640,0.796152
640.5,0.782253
641,0.768021
641.5,0.753255
642,0.737075
642.5,0.721246
643,0.705313
643.5,0.690583
644,0.660747
644.5,0.645315
645,0.630784
645.5,0.615288
646,0.599462
646.5,0.583027
647,0.567031
647.5,0.552532
648,0.537902
648.5,0.523168
649,0.509059
649.5,0.494443
650,0.480697
650.5,0.465847
651,0.438183
651.5,0.424928
652,0.412065
652.5,0.399572
653,0.387216
653.5,0.375202
654,0.363913
654.5,0.353106
655,0.342466
655.5,0.331521
656,0.320481
656.5,0.309981
657,0.299729
657.5,0.289798
658,0.270187
658.5,0.260823
659,0.252045
659.5,0.243897
660,0.235749
660.5,0.228339
661,0.220115
661.5,0.21254
662,0.204676
662.5,0.197842
663,0.190912
663.5,0.184356
664,0.177701
664.5,0.171147
665,0.158641
665.5,0.153477
666,0.147764
666.5,0.142366
667,0.136737
667.5,0.131944
668,0.127145
668.5,0.122629
669,0.118045
669.5,0.112946
670,0.108574
670.5,0.104356
671,0.101275
671.5,0.097236
672,0.089322
672.5,0.086292
673,0.083546
673.5,0.080765
674,0.077794
674.5,0.074894
675,0.072322
675.5,0.069764
676,0.066766
676.5,0.06409
677,0.06148
677.5,0.059633
678,0.057496
678.5,0.055369
679,0.050903
679.5,0.048662
680,0.046095
